Ticker,Strategy,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Total Trades,Avg Duration (min)
SOXL,EMA Crossover (5/13),+33.19%,3.51,12.88%,39.09%,110,288.4
SOXL,EMA Crossover (12/26),+29.04%,3.99,12.19%,58.14%,43,514.0
SOXL,EMA Crossover (8/20),+24.27%,2.96,11.60%,40.28%,72,384.6
TQQQ,EMA Crossover (5/13),+23.41%,6.32,4.02%,45.37%,108,375.3
TQQQ,EMA Crossover (8/20),+19.00%,5.54,4.36%,50.70%,71,520.1
TQQQ,EMA Crossover (9/21),+18.16%,5.51,4.70%,47.76%,67,471.7
TQQQ,EMA Crossover (12/26),+15.66%,5.55,4.54%,55.10%,49,517.3
SOXL,EMA Crossover (9/21),+13.95%,1.80,13.97%,38.89%,72,353.9
NVDA,EMA Crossover (9/21),+5.04%,2.21,4.30%,34.78%,69,255.4
NVDA,EMA Crossover (8/20),+4.33%,1.90,5.14%,31.65%,79,226.4
NVDA,EMA Crossover (5/13),+2.24%,0.73,7.17%,29.51%,122,195.2
NVDA,EMA Crossover (12/26),-0.35%,-0.15,4.40%,35.19%,54,248.3
TQQQ,Buy & Hold,+44.45%,3.67,23.27%,100.00%,1,83775.0
SOXL,Buy & Hold,+169.39%,4.46,44.26%,100.00%,1,83775.0
NVDA,Buy & Hold,+5.51%,0.79,15.34%,100.00%,1,83775.0
