Ticker,Strategy,Avg Weekly %,Max Weekly Loss %,Pct Weeks >= 5%,Win Weeks %
TQQQ,RSI Scalper,0.018912257525049565,-2.651429130783556,0.0,56.00000000000001
TQQQ,VWAP Mean Rev,-0.014581217533654432,-4.139321130320472,4.0,40.0
TQQQ,EMA 8/30 Crossover,0.5334779364435165,-3.364344135770536,12.0,56.00000000000001
SOXL,RSI Scalper,0.6287889301825351,-4.525337471843471,4.0,60.0
SOXL,VWAP Mean Rev,0.3493726385123371,-5.0400723511180185,8.0,44.0
SOXL,EMA 8/30 Crossover,0.9545036481828665,-6.765182200028475,24.0,48.0
MSTR,RSI Scalper,-0.4263323266643897,-4.096002510768503,0.0,36.0
MSTR,VWAP Mean Rev,-0.09174594852735751,-3.025952630231521,0.0,48.0
MSTR,EMA 8/30 Crossover,-0.6066798169671368,-4.779159488665297,0.0,28.000000000000004
COIN,RSI Scalper,-0.159887480436022,-5.3913259896999355,0.0,56.00000000000001
COIN,VWAP Mean Rev,-0.06510471467156663,-2.467554907986036,0.0,48.0
COIN,EMA 8/30 Crossover,-0.19122813143546455,-6.0203975259513935,8.0,36.0
AMD,RSI Scalper,-0.02958264697419068,-3.6068230874205187,0.0,52.0
AMD,VWAP Mean Rev,-0.09571593784191768,-1.6700639972035303,0.0,32.0
AMD,EMA 8/30 Crossover,0.4367274366279581,-2.6375199660173987,12.0,32.0
